sample_id,measurement
S_10,84.64
S_66,92.9
S_73,96.06
S_13,81.17
S_23,88.57
S_88,100.34
S_81,80.06
S_62,102.51
S_61,82.16
S_8,91.59
S_71,85.99
S_47,86.6
S_39,83.08
S_52,103.51
S_59,88.06
S_6,80.14
S_40,96.09
S_17,78.15
S_72,86.7
S_44,87.51
S_33,97.11
S_70,71.68
S_75,80.96
S_24,83.56
S_41,84.75
S_48,74.38
S_9,79.79
S_32,85.37
S_90,89.54
S_60,89.6
S_46,82.03
S_16,80.12
S_45,88.96
S_94,83.52
S_54,91.09
S_69,106.69
S_14,73.35
S_29,92.45
S_68,86.7
S_87,82.76
S_27,95.48
S_83,85.92
S_11,101.44
S_37,94.37
S_82,93.11
S_28,78.88
S_79,83.84
S_85,83.3
S_64,99.67
S_53,92.34
S_92,100.83
S_89,92.2
S_36,90.85
S_49,96.92
S_31,80.43
S_84,68.67
S_55,89.93
S_42,88.38
S_65,83.69
S_56,80.31
S_51,87.62
S_7,92.33
S_78,91.65
S_58,75.4
S_67,73.74
S_12,95.11
S_38,87.82
S_74,96.05
S_1,63.42
S_3,68.96
S_25,87.8
S_19,74.68
S_30,68.86
S_50,67.49
S_80,74.08
S_21,82.56
S_63,73.17
S_34,86.77
S_35,74.17
S_76,81.14
S_0,80.8
S_2,89.45
S_5,94.17
S_93,90.77
S_20,78.65
S_86,101.15
S_57,83.82
S_43,92.57
