sample_id,measurement
S_3,115.94
S_2,104.49
S_92,105.97
S_13,104.96
S_35,117.14
S_14,95.17
S_5,99.89
S_90,92.21
S_58,114.45
S_84,102.62
S_93,112.35
S_12,103.94
S_52,107.28
S_23,105.72
S_66,113.61
S_24,108.48
S_17,115.24
S_87,97.63
S_79,101.47
S_18,86.12
S_91,109.04
S_88,105.22
S_30,91.75
S_50,105.69
S_76,110.58
S_8,101.0
S_53,99.39
S_56,96.76
S_69,107.3
S_16,95.17
S_45,110.82
S_29,112.36
S_71,107.39
S_44,112.24
S_42,91.07
S_95,113.82
S_49,109.54
S_86,86.75
S_68,102.31
S_15,110.78
S_39,106.54
S_36,103.72
S_60,101.81
S_81,103.92
S_83,102.67
S_28,93.68
S_19,101.87
S_72,97.41
S_85,106.19
S_43,101.49
S_26,101.67
S_11,114.14
S_74,103.63
S_21,110.1
S_67,113.58
S_1,100.3
S_6,109.16
S_25,117.22
S_46,108.42
S_78,108.0
S_4,100.22
S_27,103.92
S_64,84.3
S_55,97.74
S_22,99.9
S_32,100.89
S_37,88.95
S_94,101.51
S_34,101.18
S_61,98.44
S_57,104.99
S_80,93.44
S_48,112.44
S_73,103.99
S_40,112.4
S_20,96.34
S_7,99.55
S_89,112.65
S_51,97.99
S_33,104.81
S_63,108.19
S_82,102.15
S_59,100.01
S_38,101.26
S_0,104.3
S_62,104.05
S_70,104.83
S_41,97.94
