sample_id,measurement
S_35,42.78
S_70,30.03
S_55,21.93
S_14,34.32
S_4,28.94
S_66,28.44
S_11,27.06
S_2,34.66
S_94,41.46
S_82,18.31
S_63,40.55
S_49,32.31
S_17,36.49
S_79,27.43
S_12,45.84
S_88,40.3
S_74,37.37
S_52,42.31
S_53,31.0
S_39,42.17
S_92,43.41
S_93,35.31
S_90,35.96
S_48,29.28
S_56,45.92
S_31,34.53
S_81,34.79
S_30,42.42
S_6,31.48
S_23,32.34
S_78,29.67
S_51,25.66
S_3,34.67
S_77,31.74
S_33,41.08
S_72,22.82
S_38,22.7
S_26,27.49
S_73,36.39
S_83,39.05
S_54,23.95
S_7,24.94
S_68,43.02
S_9,32.0
S_37,44.12
S_86,46.06
S_1,38.13
S_42,44.24
S_64,36.91
S_44,48.14
S_20,38.07
S_41,28.75
S_40,35.81
S_84,44.35
S_87,32.59
S_36,36.19
S_10,41.47
S_19,35.66
S_29,31.26
S_34,32.65
S_43,26.45
S_67,20.01
S_59,43.06
S_69,34.39
S_21,28.41
S_13,31.6
S_22,34.11
S_80,35.58
S_8,40.08
S_50,34.82
S_89,38.65
S_71,30.53
S_46,53.63
S_75,42.09
S_45,49.63
S_18,25.98
S_85,40.48
S_91,35.75
S_61,26.62
S_95,38.88
S_27,42.06
S_24,31.36
S_15,34.32
S_47,37.84
S_58,40.03
S_28,35.12
S_76,27.23
S_65,30.54
S_0,30.34
S_57,33.72
S_16,39.64
S_62,40.17
S_5,24.72
S_32,23.31
S_60,10.3
