sample_id,measurement
S_59,81.23
S_16,65.62
S_31,68.01
S_28,57.62
S_26,79.03
S_20,62.27
S_72,64.36
S_3,72.04
S_48,51.91
S_58,62.67
S_63,81.88
S_86,57.44
S_50,63.77
S_22,70.3
S_0,60.0
S_54,57.8
S_46,63.41
S_15,58.93
S_92,68.83
S_23,52.25
S_12,68.68
S_43,64.44
S_76,66.62
S_82,67.57
S_88,61.75
S_83,58.45
S_81,61.04
S_32,40.44
S_11,68.94
S_47,71.8
S_38,52.58
S_1,57.13
S_27,64.75
S_69,75.33
S_74,68.04
S_90,60.3
S_49,73.2
S_64,63.42
S_57,63.86
S_34,71.32
S_19,70.71
S_68,51.39
S_30,49.86
S_37,64.36
S_41,51.02
S_51,61.17
S_35,64.39
S_78,71.09
S_5,58.35
S_62,58.07
S_7,45.18
S_60,63.69
S_44,68.23
S_73,64.97
S_80,71.88
S_70,63.14
S_29,71.49
S_75,60.78
S_39,64.75
S_91,63.31
S_18,78.2
S_2,53.31
S_77,55.51
S_65,57.24
S_56,71.76
S_89,59.3
S_25,59.21
S_53,72.69
S_14,62.07
S_94,65.84
S_36,50.73
S_85,60.75
S_71,72.25
S_40,65.41
S_45,67.25
S_17,64.56
S_93,50.36
S_24,60.95
S_13,74.91
S_67,57.28
S_79,58.1
S_66,68.67
S_9,47.35
S_52,63.95
S_10,58.27
S_6,71.12
