sample_id,measurement
S_47,99.37
S_46,96.63
S_67,89.19
S_61,98.25
S_19,87.44
S_4,90.57
S_64,94.48
S_63,84.38
S_18,81.13
S_83,79.51
S_38,108.28
S_30,106.36
S_41,80.29
S_84,77.73
S_88,91.37
S_8,92.11
S_50,99.25
S_92,95.25
S_81,89.65
S_25,105.1
S_95,104.21
S_57,96.1
S_15,96.74
S_60,80.06
S_34,89.44
S_10,91.51
S_20,98.26
S_73,92.43
S_39,100.24
S_37,107.04
S_75,106.98
S_13,97.12
S_6,78.55
S_0,75.79
S_48,100.24
S_74,92.68
S_16,91.22
S_43,92.94
S_12,86.34
S_55,89.57
S_76,85.09
S_90,114.71
S_52,97.35
S_65,107.74
S_49,99.46
S_44,84.26
S_9,87.26
S_1,94.4
S_78,89.8
S_70,103.37
S_91,88.9
S_14,89.89
S_29,95.47
S_58,87.15
S_24,102.65
S_54,87.82
S_89,76.51
S_33,94.36
S_40,101.05
S_62,87.75
S_93,95.48
S_31,94.13
S_77,89.77
S_69,94.8
S_28,90.94
S_68,109.38
S_36,86.71
S_32,93.38
S_71,94.3
S_7,85.95
S_23,101.67
S_17,86.33
S_27,104.15
S_85,94.75
S_45,88.53
S_35,88.96
S_59,100.32
S_2,94.87
S_3,94.85
S_79,82.8
S_21,94.74
S_94,106.76
S_22,101.85
S_86,98.48
S_26,95.44
S_53,94.38
S_72,92.98
S_56,76.43
S_5,100.26
S_51,81.96
S_80,99.56
S_82,83.66
