sample_id,measurement
S_60,43.08
S_29,47.36
S_9,32.52
S_56,62.06
S_25,40.35
S_94,53.55
S_47,46.34
S_83,56.39
S_61,42.03
S_88,50.32
S_84,46.92
S_6,47.07
S_69,57.52
S_1,51.65
S_38,54.48
S_74,59.11
S_59,55.85
S_2,47.35
S_13,59.38
S_41,48.07
S_30,47.82
S_53,50.31
S_14,50.32
S_5,49.9
S_32,57.89
S_23,55.28
S_72,52.97
S_21,45.97
S_92,39.86
S_42,55.22
S_66,59.31
S_82,41.52
S_89,62.46
S_7,44.15
S_37,59.09
S_0,57.7
S_93,43.77
S_51,50.85
S_44,63.48
S_22,55.06
S_45,39.22
S_64,47.73
S_15,47.15
S_65,32.38
S_11,51.15
S_34,45.13
S_19,58.34
S_86,52.38
S_52,38.27
S_31,52.96
S_68,54.55
S_46,52.27
S_79,46.27
S_10,47.13
S_57,59.27
S_36,46.43
S_70,43.96
S_16,54.18
S_27,42.27
S_80,54.67
S_40,50.23
S_67,50.75
S_39,52.37
S_62,44.05
S_12,40.16
S_55,70.23
S_17,62.57
S_58,48.91
S_95,50.18
S_73,47.08
S_49,53.19
S_54,56.96
S_91,44.17
S_76,54.44
S_33,57.48
S_85,61.7
S_8,44.79
S_4,53.07
S_63,53.63
S_35,49.44
S_81,35.52
S_24,60.26
S_50,34.51
S_48,61.86
S_20,43.42
S_71,45.53
S_77,42.39
S_43,52.63
S_18,52.31
S_78,64.17
