sample_id,measurement
S_80,60.86
S_32,66.77
S_94,51.98
S_54,57.53
S_30,65.29
S_12,59.19
S_55,53.9
S_84,39.39
S_66,53.73
S_46,61.09
S_24,64.71
S_47,46.26
S_60,65.54
S_57,56.96
S_28,49.74
S_85,54.31
S_70,55.66
S_50,49.93
S_91,52.89
S_59,54.57
S_34,59.01
S_88,85.77
S_22,59.14
S_5,48.73
S_8,58.15
S_64,47.42
S_40,59.42
S_38,48.46
S_73,55.3
S_67,53.81
S_75,58.23
S_19,54.77
S_26,57.47
S_31,50.53
S_20,47.84
S_76,64.95
S_83,63.18
S_23,60.61
S_9,57.85
S_71,56.6
S_93,59.86
S_33,60.17
S_58,64.25
S_51,58.2
S_53,62.34
S_62,56.08
S_21,68.79
S_35,51.68
S_65,52.74
S_39,44.32
S_81,51.64
S_78,72.02
S_3,64.1
S_27,72.99
S_1,40.42
S_56,61.62
S_11,49.1
S_74,54.36
S_10,63.09
S_7,54.76
S_63,58.11
S_0,61.53
S_61,42.74
S_41,52.57
S_18,58.23
S_42,55.72
S_15,50.74
S_86,50.27
S_87,72.48
S_37,50.6
S_92,66.51
S_4,51.28
S_6,49.34
S_13,50.08
S_95,69.6
S_16,56.14
S_79,55.57
S_45,51.83
S_2,54.9
S_52,58.6
S_49,62.67
S_25,64.88
S_77,54.24
S_82,67.87
S_43,58.07
S_68,42.88
S_90,50.8
S_48,56.48
S_14,48.32
S_29,73.3
S_17,54.35
S_36,47.24
S_72,53.71
S_44,48.25
S_69,55.9
